industry,stress_flag,burnout_flag,toxic_flag,depression_flag,total_flags,stress_flag_percentage,burnout_flag_percentage,toxic_flag_percentage,depression_flag_percentage
Retail,2461,540,1418,118,6187,39.78,8.73,22.92,1.91
Technology,1692,140,1178,139,5248,32.24,2.67,22.45,2.65
Finance,1214,110,462,45,2908,41.75,3.78,15.89,1.55
Energy,507,10,143,18,911,55.65,1.1,15.7,1.98
Healthcare,173,52,190,26,696,24.86,7.47,27.3,3.74
Transportation_and_Logistics,134,32,157,19,524,25.57,6.11,29.96,3.63
Business_Services,142,12,139,12,513,27.68,2.34,27.1,2.34
Consumer_Goods,143,16,124,22,461,31.02,3.47,26.9,4.77
Food_and_Beverage,66,11,76,8,260,25.38,4.23,29.23,3.08
Media_and_Entertainment,54,8,53,7,190,28.42,4.21,27.89,3.68
Public_Sector,50,10,54,8,184,27.17,5.43,29.35,4.35
Education,50,7,28,8,170,29.41,4.12,16.47,4.71
Automotive,40,2,47,2,144,27.78,1.39,32.64,1.39
Other,36,3,32,3,121,29.75,2.48,26.45,2.48
Telecommunication,26,6,20,2,77,33.77,7.79,25.97,2.6
