firm_name,stress_flag,burnout_flag,anxiety_flag,toxic_flag,supportive_env_flag,depression_flag,total_flags
Chipotle,932,255,25,172,242,23,4947
Goldman-Sachs,615,65,8,155,233,16,3276
CGI,312,15,3,144,221,12,2121
Dunkin,353,98,8,95,128,15,2091
GameStop,343,40,12,136,55,22,1824
Ross-Stores,220,66,9,85,136,17,1599
Valeo,344,6,2,76,86,12,1578
H-E-B,173,29,8,89,173,12,1452
UBS,181,15,0,104,159,10,1407
CA-Technologies,91,8,10,86,57,12,792
GlobalData,109,6,2,62,68,11,774
Sysco,105,22,1,53,45,9,705
Coty,73,8,5,67,28,11,576
Publicis-Sapient,77,6,2,32,55,8,540
ALSTOM,86,5,1,42,29,2,495
The-UPS-Store,79,6,1,29,27,1,429
Pegasystems,52,0,2,45,40,2,423
RH,39,13,0,59,24,3,414
Swarovski,51,9,1,28,43,3,405
Canada-Life,59,7,2,24,40,2,402
HUB-International,28,8,3,38,45,2,372
Tradeindia-com-Infocom-Network,29,2,0,18,68,0,351
Unity,24,5,2,48,28,5,336
Tech-Data,46,5,0,26,31,3,333
Beaumont-Health,19,16,2,27,42,4,330
Amazon-Flex,59,11,2,13,15,8,324
Cpl-Resources,28,2,0,25,51,1,321
Texas-Health-and-Human-Services-Commission,38,12,3,32,13,3,303
TriNet,18,6,1,38,26,3,276
Stefanini,32,6,2,23,26,3,276
